 --------------------------------------------------------------------------------------------------------------------------------------- 
|   Log file for  'avsnr'. This file is generated during first encoding session, new sessions will be appended                           |
 --------------------------------------------------------------------------------------------------------------------------------------- 
|SNR a0|SNR a1|SNR a2|SNR a3|Bit a0|Bit a1|Bit a2|Bit a3|SNR b0|SNR b1|SNR b2|SNR b3|Bit b0|Bit b1|Bit b2|Bit b3|   Mode      | Output  |
 --------------------------------------------------------------------------------------------------------------------------------------- 
|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  DSNR mode  |  -nan dB|
|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00| Percent mode|    -nan %|
|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  DSNR mode  |  -nan dB|
|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00|  0.00| Percent mode|    -nan %|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.30| 38.62| 41.76| 44.63|1466.00|2382.00|3819.00|5940.00|  DSNR mode  | 0.065 dB|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.30| 38.62| 41.76| 44.63|1466.00|2382.00|3819.00|5940.00| Percent mode|   -0.96 %|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.30|  9.65| 13.42|  9.75|3457.00|6624.00|3182.00|3604.00|  DSNR mode  |-16.941 dB|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.30|  9.65| 13.42|  9.75|3457.00|6624.00|3182.00|3604.00| Percent mode|938655230308063856249177899008.00 %|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.30| 38.62| 41.76| 44.63|1466.00|2382.00|3819.00|5940.00|  DSNR mode  | 0.065 dB|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.30| 38.62| 41.76| 44.63|1466.00|2382.00|3819.00|5940.00| Percent mode|   -0.96 %|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 44.63| 44.63| 44.63| 44.63| 44.63| 44.63| 44.63| 44.63|  DSNR mode  |  -nan dB|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 44.63| 44.63| 44.63| 44.63| 44.63| 44.63| 44.63| 44.63| Percent mode|    -nan %|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 44.63| 44.63| 44.63| 44.63| 44.63| 44.63| 44.63| 44.63|  DSNR mode  |  -nan dB|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 44.63| 44.63| 44.63| 44.63| 44.63| 44.63| 44.63| 44.63| Percent mode|    -nan %|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 44.63| 44.63| 44.63| 44.63| 44.63| 44.63| 44.63| 44.63|  DSNR mode  |  -nan dB|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 44.63| 44.63| 44.63| 44.63| 44.63| 44.63| 44.63| 44.63| Percent mode|    -nan %|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.23| 38.53| 41.71| 44.63|1466.00|2382.00|3819.00|5940.00|  DSNR mode  | 0.002 dB|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.23| 38.53| 41.71| 44.63|1466.00|2382.00|3819.00|5940.00| Percent mode|   -0.03 %|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.23| 38.53| 41.71| 44.63|1466.00|2382.00|3819.00|5940.00|  DSNR mode  | 0.002 dB|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.23| 38.53| 41.71| 44.63|1466.00|2382.00|3819.00|5940.00| Percent mode|   -0.03 %|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.23| 38.53| 41.71| 44.63|1466.00|2382.00|3819.00|5940.00|  DSNR mode  | 0.002 dB|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.23| 38.53| 41.71| 44.63|1466.00|2382.00|3819.00|5940.00| Percent mode|   -0.03 %|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.23| 38.53| 41.71| 44.63|1466.00|2382.00|3819.00|5940.00|  DSNR mode  | 0.002 dB|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.23| 38.53| 41.71| 44.63|1466.00|2382.00|3819.00|5940.00| Percent mode|   -0.03 %|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.23| 38.53| 41.71| 44.63|1466.00|2382.00|3819.00|5940.00|  DSNR mode  | 0.002 dB|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.23| 38.53| 41.71| 44.63|1466.00|2382.00|3819.00|5940.00| Percent mode|   -0.03 %|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.31| 38.62| 41.75| 44.63|1467.00|2383.00|3819.00|5940.00|  DSNR mode  | 0.061 dB|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.31| 38.62| 41.75| 44.63|1467.00|2383.00|3819.00|5940.00| Percent mode|   -0.91 %|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.31| 38.62| 41.75| 44.63|1467.00|3819.00|5940.00|5940.00|  DSNR mode  |  -nan dB|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.31| 38.62| 41.75| 44.63|1467.00|3819.00|5940.00|5940.00| Percent mode|   39.77 %|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.31| 38.62| 41.75| 44.63|1467.00|2383.00|3819.00|5940.00|  DSNR mode  | 0.061 dB|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.31| 38.62| 41.75| 44.63|1467.00|2383.00|3819.00|5940.00| Percent mode|   -0.91 %|
| 33.16| 36.41| 39.81| 42.80|1945.00|3456.00|5808.00|9189.00| 33.27| 36.51| 39.86| 42.80|1947.00|3458.00|5809.00|9190.00|  DSNR mode  | 0.071 dB|
| 33.16| 36.41| 39.81| 42.80|1945.00|3456.00|5808.00|9189.00| 33.27| 36.51| 39.86| 42.80|1947.00|3458.00|5809.00|9190.00| Percent mode|   -1.13 %|
| 30.07| 33.26| 37.14| 41.51|3059.00|6616.00|12428.00|20050.00| 30.10| 33.29| 37.17| 41.51|3061.00|6617.00|12429.00|20051.00|  DSNR mode  | 0.026 dB|
| 30.07| 33.26| 37.14| 41.51|3059.00|6616.00|12428.00|20050.00| 30.10| 33.29| 37.17| 41.51|3061.00|6617.00|12429.00|20051.00| Percent mode|   -0.44 %|
| 31.69| 34.92| 38.38| 42.30|3151.00|5389.00|9001.00|14650.00| 31.74| 34.96| 38.41| 42.30|3153.00|5390.00|9002.00|14651.00|  DSNR mode  | 0.032 dB|
| 31.69| 34.92| 38.38| 42.30|3151.00|5389.00|9001.00|14650.00| 31.74| 34.96| 38.41| 42.30|3153.00|5390.00|9002.00|14651.00| Percent mode|   -0.46 %|
| 32.92| 35.78| 38.97| 42.46|1710.00|3171.00|5943.00|10679.00| 33.07| 35.90| 39.05| 42.48|1712.00|3173.00|5944.00|10680.00|  DSNR mode  | 0.095 dB|
| 32.92| 35.78| 38.97| 42.46|1710.00|3171.00|5943.00|10679.00| 33.07| 35.90| 39.05| 42.48|1712.00|3173.00|5944.00|10680.00| Percent mode|   -1.81 %|
| 33.56| 36.79| 39.59| 42.54|2283.00|3580.00|5531.00|9301.00| 33.67| 36.86| 39.63| 42.54|2285.00|3581.00|5532.00|9302.00|  DSNR mode  | 0.051 dB|
| 33.56| 36.79| 39.59| 42.54|2283.00|3580.00|5531.00|9301.00| 33.67| 36.86| 39.63| 42.54|2285.00|3581.00|5532.00|9302.00| Percent mode|   -0.80 %|
| 28.44| 32.68| 37.14| 41.71|9139.00|14697.00|21643.00|29730.00| 28.54| 32.76| 37.17| 41.71|9141.00|14698.00|21644.00|29731.00|  DSNR mode  | 0.060 dB|
| 28.44| 32.68| 37.14| 41.71|9139.00|14697.00|21643.00|29730.00| 28.54| 32.76| 37.17| 41.71|9141.00|14698.00|21644.00|29731.00| Percent mode|   -0.52 %|
| 34.51| 37.61| 40.84| 44.11|1200.00|2273.00|4073.00|6868.00| 34.59| 37.69| 40.88| 44.14|1202.00|2275.00|4074.00|6869.00|  DSNR mode  | 0.058 dB|
| 34.51| 37.61| 40.84| 44.11|1200.00|2273.00|4073.00|6868.00| 34.59| 37.69| 40.88| 44.14|1202.00|2275.00|4074.00|6869.00| Percent mode|   -1.03 %|
| 33.02| 36.55| 40.14| 43.63|2716.00|4348.00|6740.00|10098.00| 33.17| 36.66| 40.20| 43.63|2718.00|4350.00|6741.00|10099.00|  DSNR mode  | 0.083 dB|
| 33.02| 36.55| 40.14| 43.63|2716.00|4348.00|6740.00|10098.00| 33.17| 36.66| 40.20| 43.63|2718.00|4350.00|6741.00|10099.00| Percent mode|   -1.02 %|
